File_A, File_B, Confidence, Support, NS, PS, NS_Samp, PS_Samp, Precision_NS, Recall_NS, Precision_PS, Recall_PS, MaxReservoirSize, TargetPercentage
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_DEFAULT_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_DEFAULT_SHACL.ttl,-,-,82651,2051538,82651,1572641,1.00,1.00,1.00,0.77,1250,25
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1_SHACL.ttl,0.25,1,82651,698825,82651,536850,1.00,1.00,0.94,0.72,1250,25
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_10_SHACL.ttl,0.25,10,23640,158283,23640,159040,1.00,1.00,0.80,0.81,1250,25
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_25_SHACL.ttl,0.25,25,14683,95333,14683,97657,1.00,1.00,0.79,0.80,1250,25
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_50_SHACL.ttl,0.25,50,9920,62038,9920,64788,1.00,1.00,0.77,0.80,1250,25
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_100_SHACL.ttl,0.25,100,6596,39877,6596,43012,1.00,1.00,0.74,0.80,1250,25
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_150_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_150_SHACL.ttl,0.25,150,5279,31926,5279,34900,1.00,1.00,0.72,0.79,1250,25
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_200_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_200_SHACL.ttl,0.25,200,4519,27252,4519,29965,1.00,1.00,0.71,0.79,1250,25
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_250_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_250_SHACL.ttl,0.25,250,4010,24139,4010,26493,1.00,1.00,0.71,0.78,1250,25
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_300_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-25-rs-1250/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_300_SHACL.ttl,0.25,300,3682,21912,3682,24243,1.00,1.00,0.70,0.78,1250,25
