Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,439957,NonLiteral
 > 25.0%, > 1,428593,Literal
 > 25.0%, > 10,100762,NonLiteral
 > 25.0%, > 10,92983,Literal
 > 25.0%, > 25,60313,NonLiteral
 > 25.0%, > 25,56320,Literal
 > 25.0%, > 50,39462,NonLiteral
 > 25.0%, > 50,36845,Literal
 > 25.0%, > 100,25714,NonLiteral
 > 25.0%, > 100,23903,Literal
 > 25.0%, > 150,20625,NonLiteral
 > 25.0%, > 150,19147,Literal
 > 25.0%, > 200,17746,NonLiteral
 > 25.0%, > 200,16375,Literal
 > 25.0%, > 250,16016,NonLiteral
 > 25.0%, > 250,14663,Literal
 > 25.0%, > 300,14796,NonLiteral
 > 25.0%, > 300,13562,Literal
 > 25.0%, > 350,13912,NonLiteral
 > 25.0%, > 350,12794,Literal
 > 25.0%, > 450,12736,NonLiteral
 > 25.0%, > 450,11882,Literal
 > 25.0%, > 500,12357,NonLiteral
 > 25.0%, > 500,11550,Literal
 > 25.0%, > 1000,8644,NonLiteral
 > 25.0%, > 1000,8232,Literal
 > 50.0%, > 1,286239,NonLiteral
 > 50.0%, > 1,296054,Literal
 > 50.0%, > 10,78107,NonLiteral
 > 50.0%, > 10,69785,Literal
 > 50.0%, > 25,47755,NonLiteral
 > 50.0%, > 25,42952,Literal
 > 50.0%, > 50,31655,NonLiteral
 > 50.0%, > 50,28255,Literal
 > 50.0%, > 100,20534,NonLiteral
 > 50.0%, > 100,18353,Literal
 > 50.0%, > 150,16443,NonLiteral
 > 50.0%, > 150,14723,Literal
 > 50.0%, > 200,14153,NonLiteral
 > 50.0%, > 200,12623,Literal
 > 50.0%, > 250,12664,NonLiteral
 > 50.0%, > 250,11233,Literal
 > 50.0%, > 300,11539,NonLiteral
 > 50.0%, > 300,10270,Literal
 > 50.0%, > 350,10675,NonLiteral
 > 50.0%, > 350,9531,Literal
 > 50.0%, > 450,9503,NonLiteral
 > 50.0%, > 450,8640,Literal
 > 50.0%, > 500,9126,NonLiteral
 > 50.0%, > 500,8315,Literal
 > 50.0%, > 1000,6054,NonLiteral
 > 50.0%, > 1000,5681,Literal
 > 90.0%, > 1,220974,NonLiteral
 > 90.0%, > 1,224602,Literal
 > 90.0%, > 10,49605,NonLiteral
 > 90.0%, > 10,37968,Literal
 > 90.0%, > 25,30540,NonLiteral
 > 90.0%, > 25,23377,Literal
 > 90.0%, > 50,20054,NonLiteral
 > 90.0%, > 50,15495,Literal
 > 90.0%, > 100,12817,NonLiteral
 > 90.0%, > 100,9951,Literal
 > 90.0%, > 150,10391,NonLiteral
 > 90.0%, > 150,8097,Literal
 > 90.0%, > 200,9138,NonLiteral
 > 90.0%, > 200,7033,Literal
 > 90.0%, > 250,8240,NonLiteral
 > 90.0%, > 250,6320,Literal
 > 90.0%, > 300,7598,NonLiteral
 > 90.0%, > 300,5840,Literal
 > 90.0%, > 350,7069,NonLiteral
 > 90.0%, > 350,5482,Literal
 > 90.0%, > 450,6269,NonLiteral
 > 90.0%, > 450,5019,Literal
 > 90.0%, > 500,6028,NonLiteral
 > 90.0%, > 500,4826,Literal
 > 90.0%, > 1000,3677,NonLiteral
 > 90.0%, > 1000,2943,Literal
 > 75.0%, > 1,243335,NonLiteral
 > 75.0%, > 1,247824,Literal
 > 75.0%, > 10,62076,NonLiteral
 > 75.0%, > 10,51212,Literal
 > 75.0%, > 25,38108,NonLiteral
 > 75.0%, > 25,31662,Literal
 > 75.0%, > 50,25249,NonLiteral
 > 75.0%, > 50,20918,Literal
 > 75.0%, > 100,16328,NonLiteral
 > 75.0%, > 100,13531,Literal
 > 75.0%, > 150,13194,NonLiteral
 > 75.0%, > 150,10965,Literal
 > 75.0%, > 200,11438,NonLiteral
 > 75.0%, > 200,9395,Literal
 > 75.0%, > 250,10301,NonLiteral
 > 75.0%, > 250,8394,Literal
 > 75.0%, > 300,9436,NonLiteral
 > 75.0%, > 300,7731,Literal
 > 75.0%, > 350,8751,NonLiteral
 > 75.0%, > 350,7220,Literal
 > 75.0%, > 450,7748,NonLiteral
 > 75.0%, > 450,6539,Literal
 > 75.0%, > 500,7393,NonLiteral
 > 75.0%, > 500,6257,Literal
 > 75.0%, > 1000,4686,NonLiteral
 > 75.0%, > 1000,4011,Literal
