File_A, File_B, Confidence, Support, NS, PS, NS_Samp, PS_Samp, Precision_NS, Recall_NS, Precision_PS, Recall_PS, MaxReservoirSize, TargetPercentage
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_DEFAULT_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_DEFAULT_SHACL.ttl,-,-,82651,2051538,82651,1917830,1.00,1.00,1.00,0.93,750,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1_SHACL.ttl,0.25,1,82651,698825,82651,624630,1.00,1.00,1.00,0.89,750,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_10_SHACL.ttl,0.25,10,23640,158283,23640,141824,1.00,1.00,0.99,0.89,750,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_25_SHACL.ttl,0.25,25,14683,95333,14683,85857,1.00,1.00,0.99,0.89,750,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_50_SHACL.ttl,0.25,50,9920,62038,9920,56214,1.00,1.00,0.98,0.89,750,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_100_SHACL.ttl,0.25,100,6596,39877,6596,36495,1.00,1.00,0.97,0.89,750,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_150_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_150_SHACL.ttl,0.25,150,5279,31926,5279,29340,1.00,1.00,0.96,0.88,750,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_200_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_200_SHACL.ttl,0.25,200,4519,27252,4519,25166,1.00,1.00,0.95,0.88,750,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_250_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_250_SHACL.ttl,0.25,250,4010,24139,4010,22589,1.00,1.00,0.94,0.88,750,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_300_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-750/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_300_SHACL.ttl,0.25,300,3682,21912,3682,20875,1.00,1.00,0.92,0.88,750,100
