File_A, File_B, Confidence, Support, NS, PS, NS_Samp, PS_Samp, Precision_NS, Recall_NS, Precision_PS, Recall_PS, MaxReservoirSize, TargetPercentage
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_DEFAULT_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_DEFAULT_SHACL.ttl,-,-,82651,2051538,82651,1937623,1.00,1.00,1.00,0.94,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1_SHACL.ttl,0.25,1,82651,698825,82651,628947,1.00,1.00,1.00,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_10_SHACL.ttl,0.25,10,23640,158283,23640,142640,1.00,1.00,0.99,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_25_SHACL.ttl,0.25,25,14683,95333,14683,86294,1.00,1.00,0.99,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_50_SHACL.ttl,0.25,50,9920,62038,9920,56445,1.00,1.00,0.98,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_100_SHACL.ttl,0.25,100,6596,39877,6596,36620,1.00,1.00,0.98,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_150_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_150_SHACL.ttl,0.25,150,5279,31926,5279,29448,1.00,1.00,0.97,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_200_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_200_SHACL.ttl,0.25,200,4519,27252,4519,25214,1.00,1.00,0.96,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_250_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_250_SHACL.ttl,0.25,250,4010,24139,4010,22412,1.00,1.00,0.96,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_300_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_300_SHACL.ttl,0.25,300,3682,21912,3682,20439,1.00,1.00,0.95,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_350_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_350_SHACL.ttl,0.25,350,3405,20209,3405,19007,1.00,1.00,0.94,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_450_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_450_SHACL.ttl,0.25,450,3012,17864,3012,17198,1.00,1.00,0.92,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_500_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_500_SHACL.ttl,0.25,500,2891,16960,2891,16544,1.00,1.00,0.91,0.89,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1000_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.25_1000_SHACL.ttl,0.25,1000,1701,10360,1701,12128,1.00,1.00,0.75,0.88,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_1_SHACL.ttl,0.5,1,82651,483813,82651,436580,1.00,1.00,1.00,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_10_SHACL.ttl,0.5,10,23640,121866,23640,110394,1.00,1.00,0.99,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_25_SHACL.ttl,0.5,25,14683,74694,14683,68032,1.00,1.00,0.99,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_50_SHACL.ttl,0.5,50,9920,48997,9920,44826,1.00,1.00,0.99,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_100_SHACL.ttl,0.5,100,6596,31509,6596,29109,1.00,1.00,0.98,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_150_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_150_SHACL.ttl,0.5,150,5279,25273,5279,23461,1.00,1.00,0.98,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_200_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_200_SHACL.ttl,0.5,200,4519,21686,4519,20177,1.00,1.00,0.97,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_250_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_250_SHACL.ttl,0.5,250,4010,19312,4010,18010,1.00,1.00,0.97,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_300_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_300_SHACL.ttl,0.5,300,3682,17638,3682,16476,1.00,1.00,0.96,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_350_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_350_SHACL.ttl,0.5,350,3405,16332,3405,15279,1.00,1.00,0.96,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_450_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_450_SHACL.ttl,0.5,450,3012,14567,3012,13683,1.00,1.00,0.96,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_500_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_500_SHACL.ttl,0.5,500,2891,13866,2891,13052,1.00,1.00,0.96,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_1000_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.5_1000_SHACL.ttl,0.5,1000,1701,8395,1701,8708,1.00,1.00,0.85,0.88,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_1_SHACL.ttl,0.9,1,82651,366045,82651,331894,1.00,1.00,1.00,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_10_SHACL.ttl,0.9,10,23640,69951,23640,64363,1.00,1.00,1.00,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_25_SHACL.ttl,0.9,25,14683,43196,14683,40008,1.00,1.00,0.99,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_50_SHACL.ttl,0.9,50,9920,28371,9920,26463,1.00,1.00,0.99,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_100_SHACL.ttl,0.9,100,6596,18028,6596,16998,1.00,1.00,0.98,0.93,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_150_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_150_SHACL.ttl,0.9,150,5279,14690,5279,13906,1.00,1.00,0.98,0.93,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_200_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_200_SHACL.ttl,0.9,200,4519,12806,4519,12152,1.00,1.00,0.98,0.93,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_250_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_250_SHACL.ttl,0.9,250,4010,11542,4010,10967,1.00,1.00,0.97,0.93,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_300_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_300_SHACL.ttl,0.9,300,3682,10668,3682,10152,1.00,1.00,0.97,0.93,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_350_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_350_SHACL.ttl,0.9,350,3405,9987,3405,9516,1.00,1.00,0.97,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_450_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_450_SHACL.ttl,0.9,450,3012,9045,3012,8646,1.00,1.00,0.97,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_500_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_500_SHACL.ttl,0.9,500,2891,8702,2891,8325,1.00,1.00,0.97,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_1000_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.9_1000_SHACL.ttl,0.9,1000,1701,5023,1701,4867,1.00,1.00,0.93,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_1_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_1_SHACL.ttl,0.75,1,82651,405344,82651,367223,1.00,1.00,1.00,0.90,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_10_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_10_SHACL.ttl,0.75,10,23640,91947,23640,84143,1.00,1.00,1.00,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_25_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_25_SHACL.ttl,0.75,25,14683,56744,14683,52224,1.00,1.00,0.99,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_50_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_50_SHACL.ttl,0.75,50,9920,37328,9920,34547,1.00,1.00,0.99,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_100_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_100_SHACL.ttl,0.75,100,6596,23944,6596,22359,1.00,1.00,0.98,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_150_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_150_SHACL.ttl,0.75,150,5279,19405,5279,18199,1.00,1.00,0.98,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_200_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_200_SHACL.ttl,0.75,200,4519,16674,4519,15668,1.00,1.00,0.97,0.92,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_250_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_250_SHACL.ttl,0.75,250,4010,14930,4010,14061,1.00,1.00,0.97,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_300_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_300_SHACL.ttl,0.75,300,3682,13726,3682,12947,1.00,1.00,0.97,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_350_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_350_SHACL.ttl,0.75,350,3405,12771,3405,12065,1.00,1.00,0.97,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_450_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_450_SHACL.ttl,0.75,450,3012,11472,3012,10870,1.00,1.00,0.96,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_500_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_500_SHACL.ttl,0.75,500,2891,10962,2891,10402,1.00,1.00,0.96,0.91,1000,100
/app/local/Output/Latest-wo-max-card/wikidata/default/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_1000_SHACL.ttl,/app/local/Output/Latest-wo-max-card/wikidata/sampled/sp-100-rs-1000/WikiData_CLEAN_DATASET_FILE_CUSTOM_0.75_1000_SHACL.ttl,0.75,1000,1701,6495,1701,6406,1.00,1.00,0.90,0.89,1000,100
