DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 1.0%, > 1.0,303321,1,4.827735866438741772696099,2358180,1,1947223,1,1,82651,1,1,23.559581856238883982044984,1433,1679,1,1045293,1,
WikiData, > 25.0%, > 1,303321,1,2.253578368115813049733755,455802,1,630660,1,1,82651,1,1,7.719311129879190687768516,156,300,1,428403,1,
WikiData, > 25.0%, > 10,35889,1,2.058693355130684423533165,103262,1,142952,1,1,23640,1,1,6.258022151206058748850851,60,187,1,92793,1,
WikiData, > 25.0%, > 25,18206,1,2.035145560647522336883057,61728,1,86461,1,1,14683,1,1,6.110749876316347445049120,40,187,1,56130,1,
WikiData, > 25.0%, > 50,10022,1,2.026570897584007232909739,40347,1,56549,1,1,9920,1,1,5.944391884789235782613266,40,187,1,36640,1,
WikiData, > 25.0%, > 100,4949,1,2.027687798858553138978868,26291,1,36665,1,1,6596,1,1,5.811539071168172452052623,24,138,1,23699,1,
WikiData, > 25.0%, > 150,3578,1,2.005886821116597037599696,21126,1,29489,1,1,5279,1,1,5.846352101506740681998414,22,112,1,18957,1,
WikiData, > 25.0%, > 200,2964,1,1.999889843577880590438423,18155,1,25238,1,1,4519,1,1,5.827291618563842068806280,22,66,1,16160,1,
WikiData, > 25.0%, > 250,2499,1,1.993491342257153383273978,16233,1,22430,1,1,4010,1,1,5.836586000520426749934947,22,65,1,14287,1,
WikiData, > 25.0%, > 300,2234,1,1.983591123066577000672495,14748,1,20405,1,1,3682,1,1,5.785370002835270768358378,22,65,1,12970,1,
WikiData, > 25.0%, > 350,2037,1,1.980238302818947980238303,13628,1,18892,1,1,3405,1,1,5.780905752753977968176255,22,65,1,12010,1,
WikiData, > 25.0%, > 450,1767,1,1.966456003889158969372873,12135,1,16955,1,1,3012,1,1,5.826460481099656357388316,22,65,1,10784,1,
WikiData, > 25.0%, > 500,1678,1,1.966373774923960797566746,11637,1,16255,1,1,2891,1,1,5.830344332855093256814921,22,65,1,10337,1,
WikiData, > 25.0%, > 1000,82,1,2.143666323377960865087539,8326,1,11425,1,1,1701,1,1,6.945288753799392097264438,22,65,1,7541,1,
WikiData, > 50.0%, > 1,303321,1,2.078988195139838934882868,294813,1,437723,1,1,82651,1,1,5.450009960655411126052094,91,243,1,295917,1,
WikiData, > 50.0%, > 10,35889,1,1.941664632658042470100073,79550,1,110618,1,1,23640,1,1,4.870250517324880024655484,34,140,1,69648,1,
WikiData, > 50.0%, > 25,18206,1,1.917528622187129885511251,48571,1,68145,1,1,14683,1,1,4.842251119164357279897676,23,137,1,42815,1,
WikiData, > 50.0%, > 50,10022,1,1.918868937541012945176878,32166,1,44881,1,1,9920,1,1,4.73828125,23,137,1,28118,1,
WikiData, > 50.0%, > 100,4949,1,1.912047640861200183234082,20870,1,29127,1,1,6596,1,1,4.635842750278529364953048,23,137,1,18212,1,
WikiData, > 50.0%, > 150,3578,1,1.882240467888876391856934,16735,1,23477,1,1,5279,1,1,4.677625024905359633393106,17,112,1,14586,1,
WikiData, > 50.0%, > 200,2964,1,1.872514619883040935672515,14409,1,20181,1,1,4519,1,1,4.681280445372303409881698,16,45,1,12486,1,
WikiData, > 50.0%, > 250,2499,1,1.865220535068691250903832,12898,1,18011,1,1,4010,1,1,4.708758169934640522875817,16,45,1,11096,1,
WikiData, > 50.0%, > 300,2234,1,1.854235683861807856128727,11754,1,16472,1,1,3682,1,1,4.688869911756333617990322,16,45,1,10133,1,
WikiData, > 50.0%, > 350,2037,1,1.849438584552568900986730,10871,1,15273,1,1,3405,1,1,4.692165898617511520737327,16,45,1,9395,1,
WikiData, > 50.0%, > 450,1767,1,1.832285115303983228511530,9614,1,13666,1,1,3012,1,1,4.714039323904794756812694,16,45,1,8419,1,
WikiData, > 50.0%, > 500,1678,1,1.826086956521739130434783,9156,1,13034,1,1,2891,1,1,4.693554195174648901692474,16,45,1,8020,1,
WikiData, > 50.0%, > 1000,82,1,1.968301634968301634968302,5899,1,8288,1,1,1701,1,1,5.075321494182486221677893,16,45,1,5291,1,
WikiData, > 90.0%, > 1,303321,1,2.100795608904166551160147,227346,1,332727,1,1,82651,1,1,4.590034350039316310060837,91,243,1,224508,1,
WikiData, > 90.0%, > 10,35889,1,1.891054096757204123090813,50268,1,64456,1,1,23640,1,1,3.413440660911931366837897,20,114,1,37874,1,
WikiData, > 90.0%, > 25,18206,1,1.843470483005366726296959,30915,1,40053,1,1,14683,1,1,3.432133676092544987146530,20,96,1,23283,1,
WikiData, > 90.0%, > 50,10022,1,1.832807001714337273301453,20313,1,26484,1,1,9920,1,1,3.382375478927203065134100,20,85,1,15401,1,
WikiData, > 90.0%, > 100,4949,1,1.819148936170212765957447,12996,1,17001,1,1,6596,1,1,3.270681031165833012697191,13,85,1,9857,1,
WikiData, > 90.0%, > 150,3578,1,1.786815793933231655651584,10544,1,13904,1,1,5279,1,1,3.318377088305489260143198,13,85,1,8003,1,
WikiData, > 90.0%, > 200,2964,1,1.779804185064311768093684,9271,1,12148,1,1,4519,1,1,3.357656163626312880044223,13,26,1,6939,1,
WikiData, > 90.0%, > 250,2499,1,1.765525982256020278833967,8358,1,10960,1,1,4010,1,1,3.404784094439266853059957,13,24,1,6226,1,
WikiData, > 90.0%, > 300,2234,1,1.753184713375796178343949,7707,1,10142,1,1,3682,1,1,3.424037812288993923024983,13,23,1,5746,1,
WikiData, > 90.0%, > 350,2037,1,1.741136474016512870325401,7170,1,9506,1,1,3405,1,1,3.444202898550724637681159,13,23,1,5388,1,
WikiData, > 90.0%, > 450,1767,1,1.713130223779994607710973,6354,1,8634,1,1,3012,1,1,3.492718446601941747572816,13,23,1,4925,1,
WikiData, > 90.0%, > 500,1678,1,1.705471803461753210496929,6109,1,8314,1,1,2891,1,1,3.509497678345293372731110,13,23,1,4732,1,
WikiData, > 90.0%, > 1000,82,1,1.871587462082912032355915,3702,1,4791,1,1,1701,1,1,3.479302832244008714596950,13,23,1,2813,1,
WikiData, > 75.0%, > 1,303321,1,2.077554002224841853592123,250258,1,368144,1,1,82651,1,1,4.784819339745256043670393,91,243,1,247686,1,
WikiData, > 75.0%, > 10,35889,1,1.896728170243506004876140,63015,1,84297,1,1,23640,1,1,3.927366753633991800223630,28,114,1,51074,1,
WikiData, > 75.0%, > 25,18206,1,1.858764125991824957922578,38653,1,52319,1,1,14683,1,1,3.932281097331830139045472,20,114,1,31524,1,
WikiData, > 75.0%, > 50,10022,1,1.852041922659920491507047,25623,1,34615,1,1,9920,1,1,3.872357086922474549725920,20,111,1,20780,1,
WikiData, > 75.0%, > 100,4949,1,1.841713841713841713841714,16592,1,22402,1,1,6596,1,1,3.782204963700827283471214,17,111,1,13393,1,
WikiData, > 75.0%, > 150,3578,1,1.811470985155195681511471,13423,1,18237,1,1,5279,1,1,3.849092444069227522161249,17,111,1,10827,1,
WikiData, > 75.0%, > 200,2964,1,1.807578816586426463736605,11639,1,15696,1,1,4519,1,1,3.850834151128557409224730,13,29,1,9257,1,
WikiData, > 75.0%, > 250,2499,1,1.798421684680048035683651,10483,1,14085,1,1,4010,1,1,3.882304299889746416758545,13,28,1,8256,1,
WikiData, > 75.0%, > 300,2234,1,1.787083565978038339847385,9602,1,12966,1,1,3682,1,1,3.894863322319014719134875,13,28,1,7593,1,
WikiData, > 75.0%, > 350,2037,1,1.7808,8904,1,12082,1,1,3405,1,1,3.912564766839378238341969,13,28,1,7082,1,
WikiData, > 75.0%, > 450,1767,1,1.757981692342040634070105,7874,1,10880,1,1,3012,1,1,3.954925481643038894947292,13,28,1,6401,1,
WikiData, > 75.0%, > 500,1678,1,1.749068901303538175046555,7514,1,10415,1,1,2891,1,1,3.951062215477996965098634,13,28,1,6119,1,
WikiData, > 75.0%, > 1000,82,1,1.889882161722876879317351,4651,1,6220,1,1,1701,1,1,4.049479166666666666666667,13,24,1,3759,1,
