Dataset,Method,Second,Minute,SecondTotal,MinuteTotal,MaxCard,DatasetPath
WikiData,firstPass:dynamicBullyReservoirSampling,2204,36,2204,36,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
WikiData,secondPass:cs.qse.filebased.sampling.ReservoirSampling,2095,34,4299,70,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
WikiData,computeSupportConfidence:cs.qse.filebased.sampling.ReservoirSampling,16,0,4315,70,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
WikiData,extractSHACLShapes:cs.qse.filebased.sampling.ReservoirSampling-Time.For.Pruning.Only,700,11,5015,81,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
WikiData,extractSHACLShapes:cs.qse.filebased.sampling.ReservoirSampling,1048,17,6063,98,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
