Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,391037,NonLiteral
 > 25.0%, > 1,429721,Literal
 > 25.0%, > 10,91277,NonLiteral
 > 25.0%, > 10,94111,Literal
 > 25.0%, > 25,55133,NonLiteral
 > 25.0%, > 25,57448,Literal
 > 25.0%, > 50,36487,NonLiteral
 > 25.0%, > 50,37958,Literal
 > 25.0%, > 100,25111,NonLiteral
 > 25.0%, > 100,26307,Literal
 > 25.0%, > 150,21671,NonLiteral
 > 25.0%, > 150,23032,Literal
 > 25.0%, > 200,20353,NonLiteral
 > 25.0%, > 200,21713,Literal
 > 25.0%, > 250,17982,NonLiteral
 > 25.0%, > 250,19319,Literal
 > 25.0%, > 300,16454,NonLiteral
 > 25.0%, > 300,17670,Literal
 > 25.0%, > 350,15214,NonLiteral
 > 25.0%, > 350,16403,Literal
 > 25.0%, > 450,13402,NonLiteral
 > 25.0%, > 450,14541,Literal
 > 25.0%, > 500,12806,NonLiteral
 > 25.0%, > 500,13903,Literal
 > 25.0%, > 1000,8221,NonLiteral
 > 25.0%, > 1000,9100,Literal
 > 50.0%, > 1,256048,NonLiteral
 > 50.0%, > 1,296675,Literal
 > 50.0%, > 10,70865,NonLiteral
 > 50.0%, > 10,70406,Literal
 > 50.0%, > 25,43508,NonLiteral
 > 50.0%, > 25,43573,Literal
 > 50.0%, > 50,28965,NonLiteral
 > 50.0%, > 50,28876,Literal
 > 50.0%, > 100,18902,NonLiteral
 > 50.0%, > 100,18970,Literal
 > 50.0%, > 150,15503,NonLiteral
 > 50.0%, > 150,15794,Literal
 > 50.0%, > 200,14228,NonLiteral
 > 50.0%, > 200,14553,Literal
 > 50.0%, > 250,12487,NonLiteral
 > 50.0%, > 250,12984,Literal
 > 50.0%, > 300,11444,NonLiteral
 > 50.0%, > 300,11917,Literal
 > 50.0%, > 350,10544,NonLiteral
 > 50.0%, > 350,11114,Literal
 > 50.0%, > 450,9215,NonLiteral
 > 50.0%, > 450,9903,Literal
 > 50.0%, > 500,8804,NonLiteral
 > 50.0%, > 500,9473,Literal
 > 50.0%, > 1000,5748,NonLiteral
 > 50.0%, > 1000,6140,Literal
 > 90.0%, > 1,196967,NonLiteral
 > 90.0%, > 1,224860,Literal
 > 90.0%, > 10,44780,NonLiteral
 > 90.0%, > 10,38226,Literal
 > 90.0%, > 25,27699,NonLiteral
 > 90.0%, > 25,23635,Literal
 > 90.0%, > 50,18283,NonLiteral
 > 90.0%, > 50,15753,Literal
 > 90.0%, > 100,11789,NonLiteral
 > 90.0%, > 100,10209,Literal
 > 90.0%, > 150,9540,NonLiteral
 > 90.0%, > 150,8355,Literal
 > 90.0%, > 200,8458,NonLiteral
 > 90.0%, > 200,7422,Literal
 > 90.0%, > 250,7586,NonLiteral
 > 90.0%, > 250,6652,Literal
 > 90.0%, > 300,6993,NonLiteral
 > 90.0%, > 300,6157,Literal
 > 90.0%, > 350,6470,NonLiteral
 > 90.0%, > 350,5780,Literal
 > 90.0%, > 450,5733,NonLiteral
 > 90.0%, > 450,5302,Literal
 > 90.0%, > 500,5490,NonLiteral
 > 90.0%, > 500,5118,Literal
 > 90.0%, > 1000,3571,NonLiteral
 > 90.0%, > 1000,3166,Literal
 > 75.0%, > 1,217611,NonLiteral
 > 75.0%, > 1,248212,Literal
 > 75.0%, > 10,56284,NonLiteral
 > 75.0%, > 10,51600,Literal
 > 75.0%, > 25,34675,NonLiteral
 > 75.0%, > 25,32050,Literal
 > 75.0%, > 50,23047,NonLiteral
 > 75.0%, > 50,21306,Literal
 > 75.0%, > 100,15003,NonLiteral
 > 75.0%, > 100,13919,Literal
 > 75.0%, > 150,12093,NonLiteral
 > 75.0%, > 150,11353,Literal
 > 75.0%, > 200,10840,NonLiteral
 > 75.0%, > 200,10182,Literal
 > 75.0%, > 250,9613,NonLiteral
 > 75.0%, > 250,9094,Literal
 > 75.0%, > 300,8845,NonLiteral
 > 75.0%, > 300,8367,Literal
 > 75.0%, > 350,8137,NonLiteral
 > 75.0%, > 350,7811,Literal
 > 75.0%, > 450,7187,NonLiteral
 > 75.0%, > 450,7087,Literal
 > 75.0%, > 500,6862,NonLiteral
 > 75.0%, > 500,6802,Literal
 > 75.0%, > 1000,4440,NonLiteral
 > 75.0%, > 1000,4327,Literal
