DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 1.0%, > 1.0,284595,1,4.018398418533675521953250,1622131,1,1824342,1,1,82651,1,1,22.072836384314769331284558,387,1092,1,968217,1,
WikiData, > 25.0%, > 1,284595,1,2.266986295016580479094683,391037,1,602213,1,1,82651,1,1,7.376174319904952047328001,150,296,1,429721,1,
WikiData, > 25.0%, > 10,30375,1,2.126528900589427579619318,91277,1,137034,1,1,23640,1,1,6.004206283135433553871095,59,182,1,94111,1,
WikiData, > 25.0%, > 25,14038,1,2.107047313307345410074142,55133,1,83614,1,1,14683,1,1,5.914968873797396717600453,40,182,1,57448,1,
WikiData, > 25.0%, > 50,6537,1,2.103967247145657940260639,36487,1,55300,1,1,9920,1,1,5.822891439401916394650942,40,182,1,37958,1,
WikiData, > 25.0%, > 100,1890,1,2.133656215481349307502761,25111,1,38076,1,1,6596,1,1,6.049571020019065776930410,40,182,1,26307,1,
WikiData, > 25.0%, > 150,588,1,2.148408843065331614949936,21671,1,33119,1,1,5279,1,1,6.545256916996047430830040,40,182,1,23032,1,
WikiData, > 25.0%, > 200,0,1,2.163601573296481343680238,20353,-999,31120,1,0,4519,1,1,6.941780057996877091233549,40,182,-999,21713,1,
WikiData, > 25.0%, > 250,0,1,2.150699677072120559741658,17982,-999,27680,1,0,4010,1,1,6.954773869346733668341709,26,76,-999,19319,1,
WikiData, > 25.0%, > 300,0,1,2.154228855721393034825871,16454,-999,25308,1,0,3682,1,1,6.928004379961675335340816,26,76,-999,17670,1,
WikiData, > 25.0%, > 350,0,1,2.155568149617455369793143,15214,-999,23461,1,0,3405,1,1,6.945233866193013617525163,26,76,-999,16403,1,
WikiData, > 25.0%, > 450,0,1,2.148789482122815456148789,13402,-999,20778,1,0,3012,1,1,6.958472873409243134628265,26,76,-999,14541,1,
WikiData, > 25.0%, > 500,0,1,2.142904953145917001338688,12806,-999,19879,1,0,2891,1,1,6.938568935427574171029668,26,76,-999,13903,1,
WikiData, > 25.0%, > 1000,0,1,2.298294660329885378809058,8221,-999,12677,1,0,1701,1,1,7.523442136498516320474777,26,72,-999,9100,1,
WikiData, > 50.0%, > 1,284595,1,2.132649236638042328483021,256048,1,416736,1,1,82651,1,1,5.194007527980656579504948,85,233,1,296675,1,
WikiData, > 50.0%, > 10,30375,1,2.021537583796890600484952,70865,1,105461,1,1,23640,1,1,4.647087335859698598748568,34,136,1,70406,1,
WikiData, > 50.0%, > 25,14038,1,2.001195897152844855342441,43508,1,65314,1,1,14683,1,1,4.645046582746604082213214,23,131,1,43573,1,
WikiData, > 50.0%, > 50,6537,1,2.007415621318178667960358,28965,1,43305,1,1,9920,1,1,4.578663565235779234510467,23,131,1,28876,1,
WikiData, > 50.0%, > 100,1890,1,2.012135405578028528848201,18902,1,28364,1,1,6596,1,1,4.525207402680280791320996,23,131,1,18970,1,
WikiData, > 50.0%, > 150,588,1,2.005043973098810139679255,15503,1,23526,1,1,5279,1,1,4.673420738974970202622169,23,131,1,15794,1,
WikiData, > 50.0%, > 200,0,1,2.012731645211486773235253,14228,-999,21622,1,0,4519,1,1,4.856693620844564240790656,23,131,-999,14553,1,
WikiData, > 50.0%, > 250,0,1,2.001121794871794871794872,12487,-999,19224,1,0,4010,1,1,4.863141917530989122185682,16,49,-999,12984,1,
WikiData, > 50.0%, > 300,0,1,1.998951965065502183406114,11444,-999,17642,1,0,3682,1,1,4.864074993107251171767301,16,49,-999,11917,1,
WikiData, > 50.0%, > 350,0,1,1.997347982572456904716802,10544,-999,16393,1,0,3405,1,1,4.886140089418777943368107,16,49,-999,11114,1,
WikiData, > 50.0%, > 450,0,1,1.988562796719896417781614,9215,-999,14537,1,0,3012,1,1,4.899561846983485001685204,16,49,-999,9903,1,
WikiData, > 50.0%, > 500,0,1,1.983776475890040558810275,8804,-999,13911,1,0,2891,1,1,4.887912860154602951510892,16,49,-999,9473,1,
WikiData, > 50.0%, > 1000,0,1,2.052124241342377722242056,5748,-999,8941,1,0,1701,1,1,5.334725536992840095465394,16,49,-999,6140,1,
WikiData, > 90.0%, > 1,284595,1,2.165448168955243571279368,196967,1,315819,1,1,82651,1,1,4.364009451560751150354434,85,233,1,224860,1,
WikiData, > 90.0%, > 10,30375,1,1.984577202623648289310406,44780,1,60790,1,1,23640,1,1,3.222711127604304723532842,20,103,1,38226,1,
WikiData, > 90.0%, > 25,14038,1,1.933342639771061631883856,27699,1,37962,1,1,14683,1,1,3.253235067272259833747536,20,86,1,23635,1,
WikiData, > 90.0%, > 50,6537,1,1.924323755394169034838438,18283,1,25254,1,1,9920,1,1,3.223640541230533571610927,20,78,1,15753,1,
WikiData, > 90.0%, > 100,1890,1,1.919719915323237257775607,11789,1,16350,1,1,6596,1,1,3.140003840983291722681006,13,78,1,10209,1,
WikiData, > 90.0%, > 150,588,1,1.892857142857142857142857,9540,1,13395,1,1,5279,1,1,3.183222433460076045627376,13,78,1,8355,1,
WikiData, > 90.0%, > 200,0,1,1.887525106003124302611024,8458,-999,11903,1,0,4519,1,1,3.248635371179039301310044,13,78,-999,7422,1,
