class,countInstances,timeInSec
http://yago-knowledge.org/resource/Isotopes_of_bismuth,1,0
http://yago-knowledge.org/resource/Gorizont,1,0
http://yago-knowledge.org/resource/Division_(naval),1,0
http://yago-knowledge.org/resource/Concrete,1,0
http://yago-knowledge.org/resource/Romería,1,0
http://yago-knowledge.org/resource/Vuelta_a_Guatemala,1,0
http://yago-knowledge.org/resource/Household_silver,1,0
http://yago-knowledge.org/resource/Aisleless_church,1,0
http://yago-knowledge.org/resource/Isotopes_of_radium,1,0
http://yago-knowledge.org/resource/Fuero,1,0
http://yago-knowledge.org/resource/Districts_of_Cartagena,_Spain,1,0
http://yago-knowledge.org/resource/Höhere_Technische_Lehranstalt,1,0
http://yago-knowledge.org/resource/Summer_house,1,0
http://yago-knowledge.org/resource/Sound_stage,1,0
http://yago-knowledge.org/resource/Cycling_club,1,0
http://yago-knowledge.org/resource/Division_of_the_field,1,0
http://yago-knowledge.org/resource/Tour_de_Singkarak,1,0
http://yago-knowledge.org/resource/Coworking,1,0
http://yago-knowledge.org/resource/Special_court,1,0
http://yago-knowledge.org/resource/Forestry,1,0
http://schema.org/ChildCare,1,0
http://yago-knowledge.org/resource/Beam_(structure),1,0
http://yago-knowledge.org/resource/Drovers'_road,1,0
http://yago-knowledge.org/resource/Ring_system,1,0
http://yago-knowledge.org/resource/National_forest_(Brazil),1,0
http://yago-knowledge.org/resource/Dice,1,0
http://yago-knowledge.org/resource/Isotopes_of_indium,1,0
http://yago-knowledge.org/resource/Lexicology,1,0
http://yago-knowledge.org/resource/Olimpíada_Brasileira_de_Matemática,1,0
http://yago-knowledge.org/resource/Political_divisions_of_Spain,1,0
http://yago-knowledge.org/resource/Mess,1,0
http://yago-knowledge.org/resource/Interzonal,1,0
http://yago-knowledge.org/resource/Isotopes_of_cobalt,1,0
http://yago-knowledge.org/resource/Casket,1,0
http://yago-knowledge.org/resource/Lekythos,1,0
http://yago-knowledge.org/resource/Spindle_whorl,1,0
http://yago-knowledge.org/resource/Ab_anbar,1,0
http://yago-knowledge.org/resource/Isotopes_of_copper,1,0
http://yago-knowledge.org/resource/Fold_(geology),1,0
http://yago-knowledge.org/resource/Assemblage_(art),1,0
http://yago-knowledge.org/resource/Sea_mark,1,0
http://yago-knowledge.org/resource/Frieze,1,0
http://yago-knowledge.org/resource/Brussels_Cycling_Classic,1,0
http://yago-knowledge.org/resource/German_National_Badminton_Championships,1,0
http://yago-knowledge.org/resource/White_Spot_%2F_Delta_Road_Race_(women's_race),1,0
http://yago-knowledge.org/resource/Isotopes_of_zinc,1,0
http://yago-knowledge.org/resource/Lagos_Open_(1976–1991),1,0
http://yago-knowledge.org/resource/Isotopes_of_nickel,1,0
http://yago-knowledge.org/resource/Ha-ha,1,0
http://yago-knowledge.org/resource/Case_(goods),1,0
http://yago-knowledge.org/resource/Grand_Prix_de_la_Ville_de_Lillers,1,0
