Dataset,Method,Second,Minute,SecondTotal,MinuteTotal,MaxCard,DatasetPath
WikiData,firstPass:dynamicBullyReservoirSampling,2253,37,2253,37,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
WikiData,secondPass:cs.qse.filebased.sampling.ReservoirSampling,2147,35,4400,72,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
WikiData,computeSupportConfidence:cs.qse.filebased.sampling.ReservoirSampling,23,0,4423,72,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
WikiData,extractSHACLShapes:cs.qse.filebased.sampling.ReservoirSampling-Time.For.Pruning.Only,692,11,5115,83,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
WikiData,extractSHACLShapes:cs.qse.filebased.sampling.ReservoirSampling,1068,17,6183,100,false,/app/data/WikiData_CLEAN_DATASET_FILE.n3
