DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 1.0%, > 1.0,300249,1,4.592587601654709805481761,2147099,1,1917830,1,1,82651,1,1,23.203953975148516049412590,909,1536,1,1026615,1,
WikiData, > 25.0%, > 1,300249,1,2.244254911062707550105337,439957,1,624630,1,1,82651,1,1,7.647282076395690499510284,153,299,1,428593,1,
WikiData, > 25.0%, > 10,35308,1,2.063061771871992792940357,100762,1,141824,1,1,23640,1,1,6.210000875733426744898853,60,185,1,92983,1,
WikiData, > 25.0%, > 25,17748,1,2.041947388021803162135627,60313,1,85857,1,1,14683,1,1,6.069777306468716861081654,40,185,1,56320,1,
WikiData, > 25.0%, > 50,9611,1,2.037379317466054003820538,39462,1,56214,1,1,9920,1,1,5.912284392090870845603702,40,185,1,36845,1,
WikiData, > 25.0%, > 100,4558,1,2.042090216010165184243964,25714,1,36495,1,1,6596,1,1,5.789181472081218274111675,24,137,1,23903,1,
WikiData, > 25.0%, > 150,3204,1,2.023447463945845187874031,20625,1,29340,1,1,5279,1,1,5.822583846001190712442945,22,110,1,19147,1,
WikiData, > 25.0%, > 200,2592,1,2.018655443066772835854852,17746,1,25166,1,1,4519,1,1,5.816038825976427085740698,22,70,1,16375,1,
WikiData, > 25.0%, > 250,2129,1,2.020691395407519555892001,16016,1,22589,1,1,4010,1,1,5.884084396978379786402709,22,70,1,14663,1,
WikiData, > 25.0%, > 300,1865,1,2.023246273759059209626692,14796,1,20875,1,1,3682,1,1,5.921985815602836879432624,22,70,1,13562,1,
WikiData, > 25.0%, > 350,1669,1,2.028875601575032813183608,13912,1,19651,1,1,3405,1,1,6.014998469543924089378635,22,70,1,12794,1,
WikiData, > 25.0%, > 450,1400,1,2.029318036966220522625876,12736,1,18158,1,1,3012,1,1,6.224888584161810078848132,22,70,1,11882,1,
WikiData, > 25.0%, > 500,1312,1,2.031732982571522525485038,12357,1,17632,1,1,2891,1,1,6.303897032534858777261351,22,70,1,11550,1,
WikiData, > 25.0%, > 1000,0,1,2.187800556821057960010124,8644,-999,12183,1,0,1701,1,1,7.217417061611374407582938,22,67,-999,8232,1,
WikiData, > 50.0%, > 1,300249,1,2.077447308831214074203101,286239,1,433838,1,1,82651,1,1,5.402916671855735581653113,91,240,1,296054,1,
WikiData, > 50.0%, > 10,35308,1,1.949117859905672148329299,78107,1,109858,1,1,23640,1,1,4.837854500616522811344020,34,140,1,69785,1,
WikiData, > 50.0%, > 25,17748,1,1.925837802960035488163891,47755,1,67749,1,1,14683,1,1,4.815480844409695074276779,23,136,1,42952,1,
WikiData, > 50.0%, > 50,9611,1,1.927245053272450532724505,31655,1,44680,1,1,9920,1,1,4.719053654414871144909168,23,136,1,28255,1,
WikiData, > 50.0%, > 100,4558,1,1.921579636908104061388733,20534,1,29039,1,1,6596,1,1,4.624781016085363911450868,23,136,1,18353,1,
WikiData, > 50.0%, > 150,3204,1,1.893700333985949556604860,16443,1,23406,1,1,5279,1,1,4.666267942583732057416268,17,110,1,14723,1,
WikiData, > 50.0%, > 200,2592,1,1.883550705350013308490817,14153,1,20137,1,1,4519,1,1,4.673242051520074263170109,14,46,1,12623,1,
WikiData, > 50.0%, > 250,2129,1,1.876426137205511927692992,12664,1,17982,1,1,4010,1,1,4.703635888046037143604499,14,46,1,11233,1,
WikiData, > 50.0%, > 300,1865,1,1.866246158822578036551836,11539,1,16453,1,1,3682,1,1,4.684794988610478359908884,14,46,1,10270,1,
