DATASET,Confidence,Support,COUNT_MCC,MIN_CC,AVG_CC,COUNT_CC,MIN_MCC,COUNT_PS,MIN_LC,AVG_MCC,COUNT_NS,AVG_LC,MAX_LC,AVG_PS,MAX_CC,MAX_PS,MAX_MCC,COUNT_LC,MIN_PS,
WikiData, > 1.0%, > 1.0,304350,1,4.935333396524359132077983,2447190,1,1957753,1,1,82651,1,1,23.686985033453920702713821,1584,1735,1,1052039,1,
WikiData, > 25.0%, > 1,304350,1,2.264858330111152985859931,462740,1,632657,1,1,82651,1,1,7.743470172088810555433160,156,300,1,428344,1,
WikiData, > 25.0%, > 10,36097,1,2.065646984428108449924907,104530,1,143338,1,1,23640,1,1,6.274645421117142356855192,60,188,1,92734,1,
WikiData, > 25.0%, > 25,18386,1,2.041632653061224489795918,62525,1,86696,1,1,14683,1,1,6.126925795053003533568905,41,188,1,56071,1,
WikiData, > 25.0%, > 50,10189,1,2.032593550955414012738854,40847,1,56677,1,1,9920,1,1,5.957220937565692663443347,41,188,1,36581,1,
WikiData, > 25.0%, > 100,5111,1,2.034269577163791787513357,26653,1,36742,1,1,6596,1,1,5.823743857980662545569821,24,138,1,23640,1,
WikiData, > 25.0%, > 150,3738,1,2.006577710956587107686525,21354,1,29540,1,1,5279,1,1,5.856463124504361617763680,23,112,1,18898,1,
WikiData, > 25.0%, > 200,3124,1,1.999782158806230258141815,18360,1,25280,1,1,4519,1,1,5.836989148002770722696837,23,67,1,16099,1,
WikiData, > 25.0%, > 250,2657,1,1.994649805447470817120623,16404,1,22452,1,1,4010,1,1,5.842310694769711163153786,23,63,1,14228,1,
WikiData, > 25.0%, > 300,2392,1,1.984023432299294368259886,14902,1,20422,1,1,3682,1,1,5.790189963141480011341083,23,63,1,12911,1,
WikiData, > 25.0%, > 350,2195,1,1.975995400316228259307173,13747,1,18880,1,1,3405,1,1,5.777233782129742962056304,23,63,1,11923,1,
WikiData, > 25.0%, > 450,1924,1,1.954978215265451024689366,12115,1,16808,1,1,3012,1,1,5.775945017182130584192440,23,63,1,10611,1,
WikiData, > 25.0%, > 500,1835,1,1.952919338508268646641917,11573,1,16053,1,1,2891,1,1,5.759956942949407965554360,23,63,1,10127,1,
WikiData, > 25.0%, > 1000,237,1,2.110282365476824720298348,7922,1,10818,1,1,1701,1,1,6.636809815950920245398773,23,63,1,7064,1,
WikiData, > 50.0%, > 1,304350,1,2.084903420438832944594198,298554,1,439071,1,1,82651,1,1,5.466521414342629482071713,92,243,1,295873,1,
WikiData, > 50.0%, > 10,36097,1,1.944912586565935396387234,80321,1,110902,1,1,23640,1,1,4.882754369744199357196319,34,140,1,69604,1,
WikiData, > 50.0%, > 25,18386,1,1.920851763416448115238580,49072,1,68318,1,1,14683,1,1,4.854544162580828536914659,23,137,1,42771,1,
WikiData, > 50.0%, > 50,10189,1,1.921989590726283416134374,32497,1,44982,1,1,9920,1,1,4.748944256756756756756757,23,137,1,28074,1,
WikiData, > 50.0%, > 100,5111,1,1.913961922030825022665458,21111,1,29198,1,1,6596,1,1,4.647882839859917223814072,23,137,1,18168,1,
WikiData, > 50.0%, > 150,3738,1,1.886601379924326730469619,16953,1,23528,1,1,5279,1,1,4.688720605819051414906337,17,112,1,14542,1,
WikiData, > 50.0%, > 200,3124,1,1.876717606266855014768203,14614,1,20229,1,1,4519,1,1,4.693503480278422273781903,15,43,1,12442,1,
WikiData, > 50.0%, > 250,2657,1,1.870230098613691582106617,13086,1,18049,1,1,4010,1,1,4.719926778242677824267782,15,43,1,11052,1,
WikiData, > 50.0%, > 300,2392,1,1.858922454064154469012769,11938,1,16511,1,1,3682,1,1,4.701309794988610478359909,15,43,1,10089,1,
WikiData, > 50.0%, > 350,2195,1,1.853740355585374035558537,11052,1,15312,1,1,3405,1,1,4.705593116164720344191764,15,43,1,9350,1,
WikiData, > 50.0%, > 450,1924,1,1.837467117624953025178504,9779,1,13694,1,1,3012,1,1,4.725327812284334023464458,15,43,1,8372,1,
WikiData, > 50.0%, > 500,1835,1,1.831138195400039315903283,9315,1,13061,1,1,2891,1,1,4.704971181556195965417867,15,43,1,7974,1,
WikiData, > 50.0%, > 1000,237,1,1.964357767316745124411567,5842,1,8042,1,1,1701,1,1,4.964197530864197530864198,15,43,1,5068,1,
WikiData, > 90.0%, > 1,304350,1,2.106996940327220094904820,230004,1,333656,1,1,82651,1,1,4.602659603818352369916680,92,243,1,224494,1,
WikiData, > 90.0%, > 10,36097,1,1.894044943820224719101124,50571,1,64560,1,1,23640,1,1,3.419310417880408876648483,21,114,1,37860,1,
WikiData, > 90.0%, > 25,18386,1,1.846861279221549780467545,31127,1,40123,1,1,14683,1,1,3.438721288995543366472403,21,96,1,23269,1,
WikiData, > 90.0%, > 50,10189,1,1.836428891879766711529834,20467,1,26532,1,1,9920,1,1,3.389371486969851814001022,21,85,1,15387,1,
WikiData, > 90.0%, > 100,5111,1,1.823431195213580075135662,13105,1,17030,1,1,6596,1,1,3.277521170130869899923018,13,85,1,9843,1,
WikiData, > 90.0%, > 150,3738,1,1.793225480283114256825076,10641,1,13923,1,1,5279,1,1,3.324498567335243553008596,13,85,1,7989,1,
WikiData, > 90.0%, > 200,3124,1,1.787242169595110771581360,9358,1,12161,1,1,4519,1,1,3.363108407079646017699115,13,26,1,6925,1,
WikiData, > 90.0%, > 250,2657,1,1.773549201009251471825063,8435,1,10968,1,1,4010,1,1,3.409387628225054398507927,13,24,1,6212,1,
WikiData, > 90.0%, > 300,2392,1,1.761775362318840579710145,7780,1,10148,1,1,3682,1,1,3.428378378378378378378378,13,23,1,5732,1,
WikiData, > 90.0%, > 350,2195,1,1.749576988155668358714044,7238,1,9511,1,1,3405,1,1,3.448513415518491660623640,13,23,1,5374,1,
WikiData, > 90.0%, > 450,1924,1,1.722192369693713057495970,6410,1,8633,1,1,3012,1,1,3.495141700404858299595142,13,23,1,4911,1,
WikiData, > 90.0%, > 500,1835,1,1.714723072641246868911773,6161,1,8311,1,1,2891,1,1,3.511195606252640473172793,13,23,1,4718,1,
WikiData, > 90.0%, > 1000,237,1,1.884072580645161290322581,3738,1,4783,1,1,1701,1,1,3.478545454545454545454545,13,23,1,2799,1,
WikiData, > 75.0%, > 1,304350,1,2.083705118285234512618738,253141,1,369148,1,1,82651,1,1,4.797681400517266028098722,92,243,1,247662,1,
WikiData, > 75.0%, > 10,36097,1,1.900722400407661640838104,63410,1,84411,1,1,23640,1,1,3.932677972418934029071934,28,114,1,51050,1,
WikiData, > 75.0%, > 25,18386,1,1.862822109397451863205288,38892,1,52378,1,1,14683,1,1,3.936715520481022172115746,21,114,1,31500,1,
WikiData, > 75.0%, > 50,10189,1,1.856803284592667290931355,25778,1,34639,1,1,9920,1,1,3.875041951001230562702763,21,111,1,20756,1,
WikiData, > 75.0%, > 100,5111,1,1.846698374073664417652915,16696,1,22410,1,1,6596,1,1,3.783555630592605098767516,17,111,1,13369,1,
WikiData, > 75.0%, > 150,3738,1,1.818622174381054897739505,13516,1,18235,1,1,5279,1,1,3.848670325031658927817645,17,111,1,10803,1,
WikiData, > 75.0%, > 200,3124,1,1.814172984682036206096240,11725,1,15696,1,1,4519,1,1,3.850834151128557409224730,13,29,1,9233,1,
WikiData, > 75.0%, > 250,2657,1,1.805988023952095808383234,10556,1,14077,1,1,4010,1,1,3.880099228224917309812569,13,28,1,8232,1,
WikiData, > 75.0%, > 300,2392,1,1.794286774253385271749212,9673,1,12960,1,1,3682,1,1,3.893060979273054971462902,13,28,1,7569,1,
WikiData, > 75.0%, > 350,2195,1,1.787250996015936254980080,8972,1,12078,1,1,3405,1,1,3.911269430051813471502591,13,28,1,7058,1,
