Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,455802,NonLiteral
 > 25.0%, > 1,428403,Literal
 > 25.0%, > 10,103262,NonLiteral
 > 25.0%, > 10,92793,Literal
 > 25.0%, > 25,61728,NonLiteral
 > 25.0%, > 25,56130,Literal
 > 25.0%, > 50,40347,NonLiteral
 > 25.0%, > 50,36640,Literal
 > 25.0%, > 100,26291,NonLiteral
 > 25.0%, > 100,23699,Literal
 > 25.0%, > 150,21126,NonLiteral
 > 25.0%, > 150,18957,Literal
 > 25.0%, > 200,18155,NonLiteral
 > 25.0%, > 200,16160,Literal
 > 25.0%, > 250,16233,NonLiteral
 > 25.0%, > 250,14287,Literal
 > 25.0%, > 300,14748,NonLiteral
 > 25.0%, > 300,12970,Literal
 > 25.0%, > 350,13628,NonLiteral
 > 25.0%, > 350,12010,Literal
 > 25.0%, > 450,12135,NonLiteral
 > 25.0%, > 450,10784,Literal
 > 25.0%, > 500,11637,NonLiteral
 > 25.0%, > 500,10337,Literal
 > 25.0%, > 1000,8326,NonLiteral
 > 25.0%, > 1000,7541,Literal
 > 50.0%, > 1,294813,NonLiteral
 > 50.0%, > 1,295917,Literal
 > 50.0%, > 10,79550,NonLiteral
 > 50.0%, > 10,69648,Literal
 > 50.0%, > 25,48571,NonLiteral
 > 50.0%, > 25,42815,Literal
 > 50.0%, > 50,32166,NonLiteral
 > 50.0%, > 50,28118,Literal
 > 50.0%, > 100,20870,NonLiteral
 > 50.0%, > 100,18212,Literal
 > 50.0%, > 150,16735,NonLiteral
 > 50.0%, > 150,14586,Literal
 > 50.0%, > 200,14409,NonLiteral
 > 50.0%, > 200,12486,Literal
 > 50.0%, > 250,12898,NonLiteral
 > 50.0%, > 250,11096,Literal
 > 50.0%, > 300,11754,NonLiteral
 > 50.0%, > 300,10133,Literal
 > 50.0%, > 350,10871,NonLiteral
 > 50.0%, > 350,9395,Literal
 > 50.0%, > 450,9614,NonLiteral
 > 50.0%, > 450,8419,Literal
 > 50.0%, > 500,9156,NonLiteral
 > 50.0%, > 500,8020,Literal
 > 50.0%, > 1000,5899,NonLiteral
 > 50.0%, > 1000,5291,Literal
 > 90.0%, > 1,227346,NonLiteral
 > 90.0%, > 1,224508,Literal
 > 90.0%, > 10,50268,NonLiteral
 > 90.0%, > 10,37874,Literal
 > 90.0%, > 25,30915,NonLiteral
 > 90.0%, > 25,23283,Literal
 > 90.0%, > 50,20313,NonLiteral
 > 90.0%, > 50,15401,Literal
 > 90.0%, > 100,12996,NonLiteral
 > 90.0%, > 100,9857,Literal
 > 90.0%, > 150,10544,NonLiteral
 > 90.0%, > 150,8003,Literal
 > 90.0%, > 200,9271,NonLiteral
 > 90.0%, > 200,6939,Literal
 > 90.0%, > 250,8358,NonLiteral
 > 90.0%, > 250,6226,Literal
 > 90.0%, > 300,7707,NonLiteral
 > 90.0%, > 300,5746,Literal
 > 90.0%, > 350,7170,NonLiteral
 > 90.0%, > 350,5388,Literal
 > 90.0%, > 450,6354,NonLiteral
 > 90.0%, > 450,4925,Literal
 > 90.0%, > 500,6109,NonLiteral
 > 90.0%, > 500,4732,Literal
 > 90.0%, > 1000,3702,NonLiteral
 > 90.0%, > 1000,2813,Literal
 > 75.0%, > 1,250258,NonLiteral
 > 75.0%, > 1,247686,Literal
 > 75.0%, > 10,63015,NonLiteral
 > 75.0%, > 10,51074,Literal
 > 75.0%, > 25,38653,NonLiteral
 > 75.0%, > 25,31524,Literal
 > 75.0%, > 50,25623,NonLiteral
 > 75.0%, > 50,20780,Literal
 > 75.0%, > 100,16592,NonLiteral
 > 75.0%, > 100,13393,Literal
 > 75.0%, > 150,13423,NonLiteral
 > 75.0%, > 150,10827,Literal
 > 75.0%, > 200,11639,NonLiteral
 > 75.0%, > 200,9257,Literal
 > 75.0%, > 250,10483,NonLiteral
 > 75.0%, > 250,8256,Literal
 > 75.0%, > 300,9602,NonLiteral
 > 75.0%, > 300,7593,Literal
 > 75.0%, > 350,8904,NonLiteral
 > 75.0%, > 350,7082,Literal
 > 75.0%, > 450,7874,NonLiteral
 > 75.0%, > 450,6401,Literal
 > 75.0%, > 500,7514,NonLiteral
 > 75.0%, > 500,6119,Literal
 > 75.0%, > 1000,4651,NonLiteral
 > 75.0%, > 1000,3759,Literal
