Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,429833,NonLiteral
 > 25.0%, > 1,428730,Literal
 > 25.0%, > 10,99115,NonLiteral
 > 25.0%, > 10,93120,Literal
 > 25.0%, > 25,59368,NonLiteral
 > 25.0%, > 25,56457,Literal
 > 25.0%, > 50,38854,NonLiteral
 > 25.0%, > 50,36967,Literal
 > 25.0%, > 100,25307,NonLiteral
 > 25.0%, > 100,24026,Literal
 > 25.0%, > 150,20376,NonLiteral
 > 25.0%, > 150,19343,Literal
 > 25.0%, > 200,17783,NonLiteral
 > 25.0%, > 200,16861,Literal
 > 25.0%, > 250,16283,NonLiteral
 > 25.0%, > 250,15378,Literal
 > 25.0%, > 300,15217,NonLiteral
 > 25.0%, > 300,14463,Literal
 > 25.0%, > 350,14478,NonLiteral
 > 25.0%, > 350,13849,Literal
 > 25.0%, > 450,13525,NonLiteral
 > 25.0%, > 450,13172,Literal
 > 25.0%, > 500,13298,NonLiteral
 > 25.0%, > 500,12971,Literal
 > 25.0%, > 1000,8509,NonLiteral
 > 25.0%, > 1000,8353,Literal
 > 50.0%, > 1,280680,NonLiteral
 > 50.0%, > 1,296153,Literal
 > 50.0%, > 10,77125,NonLiteral
 > 50.0%, > 10,69884,Literal
 > 50.0%, > 25,47190,NonLiteral
 > 50.0%, > 25,43051,Literal
 > 50.0%, > 50,31268,NonLiteral
 > 50.0%, > 50,28354,Literal
 > 50.0%, > 100,20288,NonLiteral
 > 50.0%, > 100,18448,Literal
 > 50.0%, > 150,16268,NonLiteral
 > 50.0%, > 150,14822,Literal
 > 50.0%, > 200,13997,NonLiteral
 > 50.0%, > 200,12722,Literal
 > 50.0%, > 250,12535,NonLiteral
 > 50.0%, > 250,11332,Literal
 > 50.0%, > 300,11472,NonLiteral
 > 50.0%, > 300,10433,Literal
 > 50.0%, > 350,10740,NonLiteral
 > 50.0%, > 350,9834,Literal
 > 50.0%, > 450,9798,NonLiteral
 > 50.0%, > 450,9177,Literal
 > 50.0%, > 500,9588,NonLiteral
 > 50.0%, > 500,8995,Literal
 > 50.0%, > 1000,6008,NonLiteral
 > 50.0%, > 1000,5768,Literal
 > 90.0%, > 1,216629,NonLiteral
 > 90.0%, > 1,224666,Literal
 > 90.0%, > 10,49068,NonLiteral
 > 90.0%, > 10,38032,Literal
 > 90.0%, > 25,30191,NonLiteral
 > 90.0%, > 25,23441,Literal
 > 90.0%, > 50,19786,NonLiteral
 > 90.0%, > 50,15559,Literal
 > 90.0%, > 100,12627,NonLiteral
 > 90.0%, > 100,10015,Literal
 > 90.0%, > 150,10233,NonLiteral
 > 90.0%, > 150,8161,Literal
 > 90.0%, > 200,8996,NonLiteral
 > 90.0%, > 200,7097,Literal
 > 90.0%, > 250,8110,NonLiteral
 > 90.0%, > 250,6384,Literal
 > 90.0%, > 300,7475,NonLiteral
 > 90.0%, > 300,5904,Literal
 > 90.0%, > 350,6952,NonLiteral
 > 90.0%, > 350,5546,Literal
 > 90.0%, > 450,6160,NonLiteral
 > 90.0%, > 450,5083,Literal
 > 90.0%, > 500,5963,NonLiteral
 > 90.0%, > 500,4934,Literal
 > 90.0%, > 1000,3614,NonLiteral
 > 90.0%, > 1000,3005,Literal
 > 75.0%, > 1,238669,NonLiteral
 > 75.0%, > 1,247864,Literal
 > 75.0%, > 10,61287,NonLiteral
 > 75.0%, > 10,51252,Literal
 > 75.0%, > 25,37615,NonLiteral
 > 75.0%, > 25,31702,Literal
 > 75.0%, > 50,24884,NonLiteral
 > 75.0%, > 50,20958,Literal
 > 75.0%, > 100,16075,NonLiteral
 > 75.0%, > 100,13571,Literal
 > 75.0%, > 150,12992,NonLiteral
 > 75.0%, > 150,11005,Literal
 > 75.0%, > 200,11255,NonLiteral
 > 75.0%, > 200,9435,Literal
 > 75.0%, > 250,10138,NonLiteral
 > 75.0%, > 250,8434,Literal
 > 75.0%, > 300,9285,NonLiteral
 > 75.0%, > 300,7771,Literal
 > 75.0%, > 350,8613,NonLiteral
 > 75.0%, > 350,7260,Literal
 > 75.0%, > 450,7689,NonLiteral
 > 75.0%, > 450,6639,Literal
 > 75.0%, > 500,7488,NonLiteral
 > 75.0%, > 500,6479,Literal
 > 75.0%, > 1000,4612,NonLiteral
 > 75.0%, > 1000,4039,Literal
