Confidence,Support,COUNT,TYPE
 > 25.0%, > 1,253562,NonLiteral
 > 25.0%, > 1,402989,Literal
 > 25.0%, > 10,78669,NonLiteral
 > 25.0%, > 10,115905,Literal
 > 25.0%, > 25,47893,NonLiteral
 > 25.0%, > 25,71189,Literal
 > 25.0%, > 50,31438,NonLiteral
 > 25.0%, > 50,47528,Literal
 > 25.0%, > 100,20570,NonLiteral
 > 25.0%, > 100,31780,Literal
 > 25.0%, > 150,16460,NonLiteral
 > 25.0%, > 150,25915,Literal
 > 25.0%, > 200,14041,NonLiteral
 > 25.0%, > 200,22255,Literal
 > 25.0%, > 250,12340,NonLiteral
 > 25.0%, > 250,19703,Literal
 > 25.0%, > 300,11289,NonLiteral
 > 25.0%, > 300,18048,Literal
 > 25.0%, > 350,10440,NonLiteral
 > 25.0%, > 350,16780,Literal
 > 25.0%, > 450,9179,NonLiteral
 > 25.0%, > 450,14936,Literal
 > 25.0%, > 500,8768,NonLiteral
 > 25.0%, > 500,14302,Literal
 > 25.0%, > 1000,5731,NonLiteral
 > 25.0%, > 1000,9533,Literal
 > 50.0%, > 1,195581,NonLiteral
 > 50.0%, > 1,328624,Literal
 > 50.0%, > 10,50013,NonLiteral
 > 50.0%, > 10,76569,Literal
 > 50.0%, > 25,30862,NonLiteral
 > 50.0%, > 25,47915,Literal
 > 50.0%, > 50,20465,NonLiteral
 > 50.0%, > 50,32171,Literal
 > 50.0%, > 100,13324,NonLiteral
 > 50.0%, > 100,21173,Literal
 > 50.0%, > 150,10715,NonLiteral
 > 50.0%, > 150,17346,Literal
 > 50.0%, > 200,9223,NonLiteral
 > 50.0%, > 200,14978,Literal
 > 50.0%, > 250,8181,NonLiteral
 > 50.0%, > 250,13312,Literal
 > 50.0%, > 300,7528,NonLiteral
 > 50.0%, > 300,12243,Literal
 > 50.0%, > 350,6957,NonLiteral
 > 50.0%, > 350,11428,Literal
 > 50.0%, > 450,6105,NonLiteral
 > 50.0%, > 450,10221,Literal
 > 50.0%, > 500,5849,NonLiteral
 > 50.0%, > 500,9790,Literal
 > 50.0%, > 1000,3729,NonLiteral
 > 50.0%, > 1000,6458,Literal
 > 90.0%, > 1,164376,NonLiteral
 > 90.0%, > 1,276935,Literal
 > 90.0%, > 10,26078,NonLiteral
 > 90.0%, > 10,38224,Literal
 > 90.0%, > 25,16550,NonLiteral
 > 90.0%, > 25,24002,Literal
 > 90.0%, > 50,11211,NonLiteral
 > 90.0%, > 50,16079,Literal
 > 90.0%, > 100,7212,NonLiteral
 > 90.0%, > 100,10511,Literal
 > 90.0%, > 150,5878,NonLiteral
 > 90.0%, > 150,8668,Literal
 > 90.0%, > 200,5191,NonLiteral
 > 90.0%, > 200,7651,Literal
 > 90.0%, > 250,4702,NonLiteral
 > 90.0%, > 250,6880,Literal
 > 90.0%, > 300,4349,NonLiteral
 > 90.0%, > 300,6365,Literal
 > 90.0%, > 350,4048,NonLiteral
 > 90.0%, > 350,5992,Literal
 > 90.0%, > 450,3613,NonLiteral
 > 90.0%, > 450,5510,Literal
 > 90.0%, > 500,3470,NonLiteral
 > 90.0%, > 500,5313,Literal
 > 90.0%, > 1000,2160,NonLiteral
 > 90.0%, > 1000,3341,Literal
 > 75.0%, > 1,175276,NonLiteral
 > 75.0%, > 1,295155,Literal
 > 75.0%, > 10,35433,NonLiteral
 > 75.0%, > 10,53244,Literal
 > 75.0%, > 25,22216,NonLiteral
 > 75.0%, > 25,33344,Literal
 > 75.0%, > 50,14624,NonLiteral
 > 75.0%, > 50,22400,Literal
 > 75.0%, > 100,9420,NonLiteral
 > 75.0%, > 100,14705,Literal
 > 75.0%, > 150,7626,NonLiteral
 > 75.0%, > 150,12070,Literal
 > 75.0%, > 200,6666,NonLiteral
 > 75.0%, > 200,10536,Literal
 > 75.0%, > 250,5993,NonLiteral
 > 75.0%, > 250,9423,Literal
 > 75.0%, > 300,5535,NonLiteral
 > 75.0%, > 300,8686,Literal
 > 75.0%, > 350,5099,NonLiteral
 > 75.0%, > 350,8139,Literal
 > 75.0%, > 450,4518,NonLiteral
 > 75.0%, > 450,7394,Literal
 > 75.0%, > 500,4323,NonLiteral
 > 75.0%, > 500,7102,Literal
 > 75.0%, > 1000,2733,NonLiteral
 > 75.0%, > 1000,4599,Literal
